country,location,name,code
Guinea-Bissau,Bubaque,Bubaque Airport,BQE
Kenya,Eldoret,Eldoret International Airport,EDL
Kenya,Mombasa,Moi International Airport,MBA
Kenya,Kisumu,Kisumu International Airport,KIS
Kenya,Nairobi,Jomo Kenyatta International Airport,NBO
Lesotho,Maseru,Moshoeshoe I International Airport,MSU
Liberia,Monrovia,Roberts International Airport,ROB
Libya,Benghazi,Benina International Airport,BEN
Libya,Sabha,Sebha Airport,SEB
Libya,Tripoli,Tripoli International Airport,TIP
Libya,Tajoura,Mitiga International Airport,MJI
Madagascar,Antananarivo,Ivato International Airport,TNR
Madagascar,Antsiranana,Arrachart Airport,DIE
Madagascar,Mahajanga,Amborovy Airport,MJN
Madagascar,Nosy Be,Fascene Airport,NOS
Madagascar,Toamasina,Toamasina Airport,TMM
Madagascar,Tôlanaro,Tôlanaro Airport,FTU
Madagascar,Toliara,Toliara Airport,TLE
Malawi,Blantyre,Chileka International Airport,BLZ
Malawi,Lilongwe,Lilongwe International Airport,LLW
Mali,Bamako,Senou International Airport,BKO
Mauritania,Nouakchott,Nouakchott–Oumtounsy International Airport,NKC
Mauritania,Nouadhibou,Nouadhibou International Airport,NDB
Mauritius,Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU
Mayotte,Dzaoudzi,Dzaoudzi–Pamandzi International Airport,DZA
Morocco,Agadir,Al Massira Airport,AGA
Morocco,Casablanca,Mohammed V International Airport,CMN
Morocco,Fes,Fes-Saïss Airport,FEZ
Morocco,Marrakech,Marrakech-Menara Airport,RAK
Morocco,Nador,Nador International Airport,NDR
Morocco,Oujda,Angads Airport,OUD
Morocco,Rabat,Rabat-Salé Airport,RBA
Morocco,Tangier,Tangier-Boukhalef Airport,TNG
Morocco,Tetouan,Sania Ramel Airport,TTU
Morocco,Dakhla,Dakhla Airport,VIL
Morocco,Laâyoune,Hassan I Airport,EUN
Mozambique,Maputo,Maputo International Airport,MPM
Mozambique,Beira,Beira Airport,BEW
Mozambique,Inhambane,Inhambane Airport,INH
Mozambique,Nampula,Nampula Airport,APL
Mozambique,Pemba,Pemba Airport,POL
Mozambique,Tete,Chingozi Airport,TET
Mozambique,Vilankulo,Vilankulo Airport,VNX
Namibia,Windhoek,Hosea Kutako International Airport,WDH
Namibia,Walvis Bay,Walvis Bay Airport,WVB
Niger,Niamey,Diori Hamani International Airport,NIM
Nigeria,Abuja,Nnamdi Azikiwe International Airport,ABV
Nigeria,Calabar,Margaret Ekpo International Airport,CBQ
Nigeria,"Asaba, Delta",Asaba International Airport,ABB
Nigeria,Kano,Mallam Aminu Kano International Airport,KAN
Nigeria,Lagos,Murtala Mohammed International Airport,LOS
Nigeria,Port Harcourt,Port Harcourt International Airport,PHC
Nigeria,Enugu,Akanu Ibiam International Airport,ENU
Nigeria,Sokoto,Sadiq Abubakar III International Airport,SKO
Réunion,Saint-Denis,Roland Garros Airport,RUN
Rwanda,Kigali,Kigali International Airport,KGL
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,Saint Helena Airport,HLE
São Tomé and Príncipe,São Tomé,São Tomé International Airport,TMS
Senegal,Dakar,Blaise Diagne International Airport,DKR
Seychelles,Victoria,Seychelles International Airport,SEZ
Sierra Leone,Freetown,Lungi International Airport,FNA
Somalia,Bosaso,Bosaso Airport,BSA
Somalia,Galkayo,Abdullahi Yusuf Airport,GBY
Somalia,Garowe,Garowe Airport,GGR
Somalia,Hargeisa,Hargeisa Airport,HGA
Somalia,Kismayo,Kismayo Airport,KMU
Somalia,Mogadishu,Aden Adde International Airport,MGQ
South Africa,Cape Town,Cape Town International Airport,CPT
South Africa,Durban,King Shaka International Airport,DUR
South Africa,Johannesburg,OR Tambo International Airport,JNB
South Africa,Nelspruit,Kruger Mpumalanga International Airport,MQP
South Africa,Johannesburg,Lanseria International Airport,HLA
South Africa,East London,East London Airport,ELS
South Sudan,Juba,Juba International Airport,JUB
Sudan,Khartoum,Khartoum International Airport,KRT
Sudan,Port Sudan,Port Sudan New International Airport,PZU
Tanzania,Dar es Salaam,Julius Nyerere International Airport,DAR
Tanzania,Hai District,Kilimanjaro International Airport,JRO
Tanzania,"Unguja, Zanzibar",Abeid Amani Karume International Airport,ZNZ
Togo,Lomé,Tokoin Airport,LFW
Tunisia,Djerba,Zarzis Airport,DJE
Tunisia,Enfidha,Enfidha-Hammamet International Airport,NBE
Tunisia,Monastir,Habib Bourguiba International Airport,MIR
Tunisia,Sfax,Thyna International Airport,SFA
Tunisia,Tabarka,Tabarka–Aïn Draham International Airport,TBJ
Tunisia,Tozeur,Nefta International Airport,TOE
Tunisia,Tunis,Carthage International Airport,TUN
Uganda,Entebbe,Entebbe International Airport,EBB
Zambia,Livingstone,Harry Mwanga Nkumbula International Airport,LVI
Zambia,Lusaka,Kenneth Kaunda International Airport,LUN
Zambia,Ndola,Simon Mwansa Kapwepwe International Airport,NLA
Zimbabwe,Harare,Robert Gabriel Mugabe International Airport,HRE
Zimbabwe,Victoria Falls,Victoria Falls Airport,VFA
Zimbabwe,Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ
Anguilla,The Valley,Clayton J. Lloyd International Airport,AXA
Antigua and Barbuda,Antigua,VC Bird International Airport,ANU
Aruba,Oranjestad,Queen Beatrix International Airport,AUA
Bahamas,Nassau,Lynden Pindling International Airport,NAS
Bahamas,Chub Cay,Chub Cay International Airport,CCZ
Bahamas,Exuma,Exuma International Airport,GGT
Bahamas,Freeport,Grand Bahama International Airport,FPO
Bahamas,South Eleuthera,Rock Sound International Airport,RSD
Bahamas,Marsh Harbour,Marsh Harbour International Airport,MHH[1]
Barbados,Bridgetown,Grantley Adams International Airport,BGI
British Virgin Islands,Road Town,Terrance B. Lettsome International Airport,EIS
Caribbean Netherlands,"Kralendijk, Bonaire",Flamingo International Airport,BON
Caribbean Netherlands,"Oranjestad, Sint Eustatius",F. D. Roosevelt Airport,EUX
Caribbean Netherlands,Saba,Juancho E. Yrausquin Airport,SAB
Cayman Islands,Cayman Brac,Charles Kirkconnell International Airport,CYB
Cayman Islands,Georgetown,Owen Roberts International Airport,GCM
Cuba,Camagüey,Ignacio Agramonte International Airport,CMW
Cuba,Cayo Coco,Jardines del Rey Airport,CCC
Cuba,Cayo Largo del Sur,Vilo Acuña Airport,CYO
Cuba,Cienfuegos,Jaime González Airport,CFG
Cuba,Havana,José Martí International Airport,HAV
Cuba,Holguín,Frank País Airport,HOG
Cuba,Santa Clara,Abel Santa María Airport,SNU
Cuba,Santiago de Cuba,Antonio Maceo Airport,SCU
Cuba,Varadero,Juan Gualberto Gómez Airport,VRA
Curaçao,Willemstad,Hato International Airport,CUR
Dominica,Roseau,Melville Hall Airport,DOM
Dominican Republic,Barahona,María Montez International Airport,BRX
Dominican Republic,La Romana,La Romana International Airport,LRM
Dominican Republic,Punta Cana,Punta Cana International Airport,PUJ
Dominican Republic,Samana,Samaná El Catey International Airport,AZS
Dominican Republic,San Felipe de Puerto Plata,Gregorio Luperón International Airport,POP
Dominican Republic,Santiago de los Caballeros,Cibao International Airport,STI
Dominican Republic,Santo Domingo,Las Américas International Airport,SDQ
Grenada,Grenada,Maurice Bishop International Airport,GND
Guadeloupe,Pointe-à-Pitre,Pôle Caraïbes International Airport,PTP
Haiti,Cap-Haïtien,Cap-Haïtien International Airport,CAP
Haiti,Port-au-Prince,Toussaint Louverture International Airport,PAP
Jamaica,Kingston,Norman Manley International Airport,KIN
Jamaica,Montego Bay,Sangster International Airport,MBJ
Martinique,Fort-de-France,Martinique Aimé Césaire International Airport,FDF
Montserrat,Brades,John A. Osborne Airport,MNI
Puerto Rico,Aguadilla,Rafael Hernández Airport,BQN
Puerto Rico,San Juan,Luis Muñoz Marín International Airport,SJU
Saint Barthélemy,St. Jean,Gustaf III Airport,SBH
Saint Kitts and Nevis,Saint Kitts,Robert L. Bradshaw International Airport,SKB
Saint Lucia,Vieux Fort Quarter,Hewanorra International Airport,UVF
Saint Vincent and the Grenadines,Kingstown,Argyle International Airport,SVD
Saint Vincent and the Grenadines,Canouan,Canouan Airport,CIW
Sint Maarten,Philipsburg,Princess Juliana International Airport,SXM
Trinidad and Tobago,Port of Spain,Piarco International Airport,POS
Trinidad and Tobago,Tobago,Arthur Napoleon Raymond Robinson International Airport (formerly Crown Point International Airport),TAB
Turks and Caicos Islands,Providenciales,Providenciales Airport,PLS
U.S. Virgin Islands,Saint Thomas,Cyril E. King Airport,STT
U.S. Virgin Islands,Saint Croix,Henry E. Rohlsen Airport,STX
Belize,Belize City,Philip S. W. Goldson International Airport,BZE
Costa Rica,Liberia,Daniel Oduber Quirós International Airport,LIR
Costa Rica,San José de Costa Rica,Juan Santamaría International Airport,SJO
El Salvador,San Salvador,Monseñor Óscar Arnulfo Romero International Airport,SAL
Guatemala,Flores,Mundo Maya International Airport,FRS
Guatemala,Guatemala City,La Aurora International Airport,GUA
Honduras,La Ceiba,Golosón International Airport,LCE
Honduras,Roatán,Juan Manuel Gálvez International Airport,RTB
Honduras,San Pedro Sula,Ramón Villeda Morales International Airport,SAP
Honduras,Tegucigalpa,Toncontin International Airport,TGU
Nicaragua,Managua,Augusto C. Sandino International Airport,MGA
Nicaragua,Bluefields,Bluefields Airport,BEF
Nicaragua,Corn Island,Corn Island Airport,RNI
Nicaragua,Puerto Cabezas,Puerto Cabezas Airport,PUZ
Panama,Bocas del Toro,"Bocas del Toro ""Isla Colón"" International Airport",BOC
Panama,"David, Chiriquí",Enrique Malek International Airport,DAV
Panama,Panama City,Tocumen International Airport,PTY
Bermuda,"St. George's, Bermuda",L.F. Wade International Airport,BDA
Canada,Calgary,Calgary International Airport,YYC
Canada,Edmonton,Edmonton International Airport,YEG
Canada,Whitehorse,Erik Nielsen Whitehorse International Airport,YXY
Canada,Gander,Gander International Airport,YQX
Canada,Halifax (Goffs),Halifax Stanfield International Airport,YHZ
Canada,Hamilton,John C. Munro Hamilton International Airport,YHM
Canada,Kelowna,Kelowna International Airport,YLK
Canada,London,London International Airport,YXU
Canada,Moncton (Dieppe),Greater Moncton International Airport,YQM
Canada,Montreal (Dorval),Montreal-Pierre Elliott Trudeau International Airport,YUL
Canada,Ottawa,Ottawa Macdonald-Cartier International Airport,YOW
Canada,Quebec City,Quebec/Jean Lesage International Airport,YQB
Canada,Regina,Regina International Airport,YQR
Canada,Saskatoon,Saskatoon John G. Diefenbaker International Airport,YXE
Canada,St. John's,St. John's International Airport,YYT
Canada,Toronto (Mississauga),Toronto Pearson International Airport,YYZ
Canada,Vancouver (Richmond),Vancouver International Airport,YVR
Canada,Victoria,Victoria International Airport,YYJ
Canada,Winnipeg,Winnipeg James Armstrong Richardson International Airport,YWG
Greenland,Kangerlussuaq,Kangerlussuaq Airport,SFJ
Greenland,Nuuk,Nuuk Airport,GOH
Greenland,Ilulissat,Ilulissat Airport,JAV
Greenland,Narsarsuaq,Narsarsuaq Airport,UAK
Mexico,Acapulco,General Juan N. Alvarez International Airport,ACA
Mexico,Aguascalientes,Lic. Jesús Terán Peredo International Airport,AGU
Mexico,Cancún,Cancun International Airport,CUN
Mexico,Chihuahua,Roberto Fierro Villalobos International Airport,CUU
Mexico,Ciudad del Carmen,Ciudad del Carmen International Airport,CME
Mexico,Cozumel,Cozumel International Airport,CZM
Mexico,Culiacán,Federal de Bachigualato International Airport,CUL
Mexico,Durango,General Guadalupe Victoria International Airport,DGO
Mexico,Guadalajara,Don Miguel Hidalgo y Costilla International Airport,GDL
Mexico,Hermosillo,Hermosillo International Airport,HMO
Mexico,Huatulco,Bahías de Huatulco International Airport,HUX
Mexico,Ixtapa,Ixtapa-Zihuatanejo International Airport,ZIH
Mexico,León,Del Bajío International Airport,BJX
Mexico,Loreto,Loreto International Airport,LTO
Mexico,Los Cabos,Los Cabos International Airport,SJD
Mexico,Manzanillo,Playa de Oro International Airport,ZLO
Mexico,Mazatlán,General Rafael Buelna International Airport,MZT
Mexico,Mérida,Manuel Crescencio Rejón International Airport,MID
Mexico,Mexico City,Mexico City International Airport,MEX
Mexico,Monterrey,General Mariano Escobedo International Airport,MTY
Mexico,Morelia,General Francisco J. Mujica International Airport,MLM
Mexico,Oaxaca,Xoxocotlán International Airport,OAX
Mexico,Puebla,Hermanos Serdán International Airport,PBC
Mexico,Puerto Vallarta,Lic. Gustavo Díaz Ordaz International Airport,PVR
Mexico,Querétaro,Querétaro Intercontinental Airport,QRO
Mexico,Reynosa,General Lucio Blanco International Airport,REX
Mexico,Saltillo,Plan de Guadalupe International Airport,SLW
Mexico,San Luis Potosí,Ponciano Arriaga International Airport,SLP
Mexico,Tampico,General Francisco Javier Mina International Airport,TAM
Mexico,Tijuana,Gral. Abelardo L. Rodríguez International Airport,TIJ
Mexico,Toluca,Lic. Adolfo López Mateos International Airport,TLC
Mexico,Torreón,Francisco Sarabia International Airport,TRC
Mexico,Tuxtla Gutierrez,Angel Albino Corzo International Airport,TGZ
Mexico,Uruapan,Uruapan International Airport,UPN
Mexico,Veracruz,General Heriberto Jara International Airport,VER
Mexico,Villahermosa,Carlos Rovirosa Pérez International Airport,VSA
Mexico,Zacatecas,General Leobardo C. Ruiz International Airport,ZCL
Saint Pierre and Miquelon,Saint-Pierre,Saint-Pierre Airport,FSP
United States,Akron,Akron Executive Airport,AKC
United States,Albany,Albany International Airport,ALB
United States,Albuquerque,Albuquerque International Sunport,ABQ
United States,Anchorage,Ted Stevens Anchorage International Airport,ANC
United States,Appleton,Appleton International Airport,ATW
United States,Atlanta,Hartsfield-Jackson Atlanta International Airport,ATL
United States,Atlantic City,Atlantic City International Airport,ACY
United States,Austin,Austin-Bergstrom International Airport,AUS
United States,Baltimore,Baltimore-Washington International Thurgood Marshall Airport,BWI
United States,Bangor,Bangor International Airport,BGR
United States,Birmingham,Birmingham-Shuttlesworth International Airport,BHM
United States,Boise,Boise Airport,BOI
United States,Boston,Logan International Airport,BOS
United States,Buffalo,Buffalo Niagara International Airport,BUF
United States,Charlotte,Charlotte/Douglas International Airport,CLT
United States,Charleston (SC),Charleston International Airport,CHS
United States,Chicago,Chicago Midway International Airport,MDW
United States,Chicago,O'Hare International Airport,ORD
United States,Cincinnati,Cincinnati/Northern Kentucky International Airport,CVG
United States,Cleveland,Cleveland Hopkins International Airport,CLE
United States,Columbus (OH),John Glenn Columbus International Airport,CMH
United States,Columbus (OH),Rickenbacker International Airport,LCK
United States,Dallas,Dallas/Fort Worth International Airport,DFW
United States,Dayton (OH),Dayton International Airport,DAY
United States,Denver,Denver International Airport,DEN
United States,Des Moines (IA),Des Moines International Airport,DSM
United States,Detroit,Detroit Metropolitan Wayne County Airport,DTW
United States,Fairbanks,Fairbanks International Airport,FAI
United States,Fort Lauderdale,Fort Lauderdale-Hollywood International Airport,FLL
United States,Fort Myers,Southwest Florida International Airport,RSW
United States,Fresno,Fresno Yosemite International Airport,FAT
United States,Hartford,Bradley International Airport,BDL
United States,Green Bay,Green Bay–Austin Straubel International Airport,GRB
United States,Greensboro,Piedmont Triad International Airport,GSO
United States,Hilo,Hilo International Airport,ITO
United States,Honolulu,Daniel K. Inouye International Airport,HNL
United States,Houston,George Bush Intercontinental Airport,IAH
United States,Houston,William P. Hobby Airport,HOU
United States,Huntsville (AL),Huntsville International Airport,HSV
United States,Indianapolis,Indianapolis International Airport,IND
United States,Jacksonville,Jacksonville International Airport,JAX
United States,Juneau,Juneau International Airport,JNU
United States,Kansas City,Kansas City International Airport,MCI
United States,Ketchikan,Ketchikan International Airport,KTN
United States,Key West,Key West International Airport,EYW
United States,Kona,Kona International Airport,KOA
United States,Knoxville,McGhee Tyson Airport,TYS
United States,Lakeland,Lakeland Linder International Airport,LAL
United States,Lansing,Capital Region International Airport,LAN
United States,Las Vegas,McCarran International Airport,LAS
United States,Little Rock,Clinton National Airport,LIT
United States,Los Angeles,Los Angeles International Airport,LAX
United States,Louisville,Louisville International Airport,SDF
United States,Melbourne (FL),Melbourne International Airport,MLB
United States,Memphis,Memphis International Airport,MEM
United States,Miami,Miami International Airport,MIA
United States,Midland,Midland International Air & Space Port,MAF
United States,Milwaukee,General Mitchell International Airport,MKE
United States,Minneapolis/St. Paul,Minneapolis-Saint Paul International Airport,MSP
United States,Myrtle Beach,Myrtle Beach International Airport,MYR
United States,Nashville,Nashville International Airport,BNA
United States,New Orleans,Louis Armstrong New Orleans International Airport,MSY
United States,New York City,John F. Kennedy International Airport,JFK
United States,New York City,LaGuardia Airport,LGA
United States,Newark,Newark Liberty International Airport,EWR
United States,Newburgh,Stewart International Airport,SWF
United States,Norfolk (VA),Norfolk International Airport,ORF
United States,Oakland,Metropolitan Oakland International Airport,OAK
United States,Oklahoma City,Will Rogers World Airport,OKC
United States,Omaha,Eppley Airfield,OMA
United States,Ontario,Ontario International Airport,ONT
United States,Orange County,John Wayne Airport,SNA
United States,Orlando,Orlando International Airport,MCO
United States,Orlando/Sanford,Orlando Sanford International Airport,SFB
United States,Palm Springs,Palm Springs International Airport,PSP
United States,Panama City,Northwest Florida Beaches International Airport,ECP
United States,Pensacola,Pensacola International Airport,PNS
United States,Philadelphia,Philadelphia International Airport,PHL
United States,Phoenix,Phoenix Sky Harbor International Airport,PHX
United States,Phoenix/Mesa,Phoenix–Mesa Gateway Airport,AZA
United States,Pittsburgh,Pittsburgh International Airport,PIT
United States,Portland (ME),Portland International Jetport,PWM
United States,Portland (OR),Portland International Airport,PDX
United States,Providence,T.F. Green Airport,PVD
United States,Raleigh/Durham,Raleigh-Durham International Airport,RDU
United States,Reno,Reno-Tahoe International Airport,RNO
United States,Richmond,Richmond International Airport,RIC
United States,Rochester (MN),Rochester International Airport,RST
United States,Rochester (NY),Greater Rochester International Airport,ROC
United States,Rockford,Chicago Rockford International Airport,RFD
United States,Sacramento,Sacramento International Airport,SMF
United States,Salt Lake City,Salt Lake City International Airport,SLC
United States,San Antonio,San Antonio International Airport,SAT
United States,San Bernardino,San Bernardino International Airport,SBD
United States,San Diego,San Diego International Airport,SAN
United States,San Francisco,San Francisco International Airport,SFO
United States,San Jose (CA),San Jose International Airport,SJC
United States,Sarasota/Bradenton,Sarasota-Bradenton International Airport,SRQ
United States,Savannah (GA)/Hilton Head (SC),Savannah/Hilton Head International Airport,SAV
United States,Seattle,Kenmore Air Harbor Seaplane Base,LKE
United States,Seattle,King County International Airport,BFI
United States,Seattle,Seattle-Tacoma International Airport,SEA
United States,Snohomish County (WA),Paine Field,PAE
United States,Spokane,Spokane International Airport,GEG
United States,St. Louis,Lambert-Saint Louis International Airport,STL
United States,St. Petersburg (FL),St. Petersburg-Clearwater International Airport,PIE
United States,Syracuse,Syracuse Hancock International Airport,SYR
United States,Tallahassee,Tallahassee International Airport,TLH
United States,Tampa,Tampa International Airport,TPA
United States,"Washington, D.C.",Ronald Reagan Washington National Airport**,DCA
United States,"Washington, D.C.",Washington Dulles International Airport,IAD
United States,West Palm Beach,Palm Beach International Airport,PBI
United States,Wilkes-Barre/Scranton,Wilkes-Barre/Scranton International Airport,AVP
United States,Wilmington (NC),Wilmington International Airport,ILM
Argentina,Buenos Aires,Ministro Pistarini International Airport,EZE
Argentina,Buenos Aires,Aeroparque Jorge Newbery,AEP
Argentina,Córdoba,Ingeniero Ambrosio L.V. Taravella International Airport,COR
Argentina,Mendoza,Governor Francisco Gabrielli International Airport,MDZ
Argentina,Puerto Iguazú,Cataratas del Iguazú International Airport,IGR
Argentina,Resistencia,Resistencia International Airport,RES
Argentina,Río Gallegos,Piloto Civil N. Fernández International Airport,RGL
Argentina,San Carlos de Bariloche,Teniente Luis Candelaria International Airport,BRC
Argentina,Ushuaia,Ushuaia International Airport,USH
Bolivia,La Paz,El Alto International Airport,LPB
Bolivia,Santa Cruz de la Sierra,Viru Viru International Airport,VVI
Bolivia,Cochabamba,Jorge Wilstermann International Airport,CBB
Brazil,Aracaju,Santa Maria Airport,AJU
Brazil,Belém,Val de Cães International Airport,BEL
Brazil,Belo Horizonte,Tancredo Neves International Airport,CNF
Brazil,Boa Vista,Boa Vista International Airport,BVB
Brazil,Brasília,Brasília International Airport,BSB
Brazil,Campinas,Viracopos International Airport,VCP
Brazil,Campo Grande,Campo Grande International Airport,CGR
Brazil,Cuiabá,Marechal Rondon International Airport,CGB
Brazil,Curitiba,Afonso Pena International Airport,CWB
Brazil,Florianópolis,Hercílio Luz International Airport,FLN
Brazil,Fortaleza,Pinto Martins International Airport,FOR
Brazil,Foz do Iguaçu,Cataratas International Airport,IGU
Brazil,Goiânia,Santa Genoveva Airport,GYN
Brazil,João Pessoa,Presidente Castro Pinto International Airport,JPA
Brazil,Maceió,Zumbi dos Palmares International Airport,MCZ
Brazil,Manaus,Eduardo Gomes International Airport,MAO
Brazil,Natal,Greater Natal International Airport,NAT
Brazil,Petrolina,Senador Nilo Coelho Airport,PNZ
Brazil,Porto Alegre,Salgado Filho International Airport,POA
Brazil,Porto Velho,Governador Jorge Teixeira de Oliveira International Airport,PVH
Brazil,Recife,Guararapes International Airport,REC
Brazil,Rio Branco,Rio Branco International Airport,RBR
Brazil,Rio de Janeiro,Rio de Janeiro–Galeão International Airport,GIG
Brazil,Rio de Janeiro,Santos Dumont Airport,SDU
Brazil,Salvador,Deputado Luís Eduardo Magalhães International Airport,SSA
Brazil,São Luís,Marechal Cunha Machado International Airport,SLZ
Brazil,São Paulo,São Paulo–Congonhas Airport,CGH
Brazil,São Paulo,São Paulo–Guarulhos International Airport,GRU
Brazil,Teresina,Teresina Airport,THE
Brazil,Uberlândia,Uberlândia Airport,UDI
Brazil,Vitória,Eurico de Aguiar Salles Airport,VIX
Chile,Antofagasta,Cerro Moreno International Airport,ANF
Chile,Concepción,Carriel Sur International Airport,CCP
Chile,Puerto Montt,El Tepual International Airport,PMC
Chile,Punta Arenas,Presidente Carlos Ibáñez del Campo International Airport,PUQ
Chile,Santiago de Chile,Comodoro Arturo Merino Benítez International Airport,SCL
Colombia,Armenia,El Edén International Airport,AXM
Colombia,Barranquilla,Ernesto Cortissoz International Airport,BAQ
Colombia,Bogotá,El Dorado International Airport,BOG
Colombia,Bucaramanga,Palonegro International Airport,BGA
Colombia,Cali,Alfonso Bonilla Aragon International Airport,CLO
Colombia,Cartagena de Indias,Rafael Núñez International Airport,CTG
Colombia,Cúcuta,Camilo Daza International Airport,CUC
Colombia,Leticia,Alfredo Vásquez Cobo International Airport,LET
Colombia,Medellín,José María Córdova International Airport,MDE
Colombia,Pereira,Matecaña International Airport,PEI
Colombia,San Andrés,Gustavo Rojas Pinilla International Airport,ADZ
Colombia,Santa Marta,Simón Bolívar International Airport,SMR
Ecuador,Cuenca,Mariscal Lamar International Airport,CUE
Ecuador,Esmeraldas,Carlos Concha Torres International Airport,ESM
Ecuador,Guayaquil,José Joaquín de Olmedo International Airport,GYE
Ecuador,Machala,Santa Rosa International Airport,ETR
Ecuador,Manta,Eloy Alfaro International Airport,MEC
Ecuador,Quito,Mariscal Sucre International Airport,UIO
Ecuador,Tulcán,Teniente Coronel Luis a Mantilla International Airport,TUA
Falkland Islands,Mount Pleasant,RAF Mount Pleasant,MPN
French Guiana,Cayenne,Cayenne-Rochambeau Airport,CAY
Guyana,Georgetown,Cheddi Jagan International Airport,GEO
Paraguay,Asunción,Silvio Pettirossi International Airport,ASU
Paraguay,Ciudad del Este,Guaraní International Airport,AGT
Peru,Arequipa,Rodríguez Ballón International Airport,AQP
Peru,Cusco,Alejandro Velasco Astete International Airport,CUZ
Peru,Lima,Jorge Chávez International Airport,LIM
Suriname,Paramaribo,Johan Adolf Pengel International Airport,PBM
Uruguay,Montevideo,Carrasco International Airport,MVD
Uruguay,Punta del Este,Capitan Corbeta CA Curbelo International Airport,PDP
Uruguay,Rivera,Rivera International Airport,RVY
Venezuela,Caracas,Simón Bolívar International Airport,CCS
Venezuela,Maracaibo,La Chinita International Airport,MAR
Venezuela,Valencia,Arturo Michelena International Airport,VLN
Kazakhstan,Aktau,Aktau Airport,SCO
